pickup_latitude|pickup_longitude|PickUpKey|properties.category|properties.addresstype|properties.address.neighbourhood|properties.address.suburb
40.761559|-73.960571|29528|place|place|Manhattan Community Board 8|Manhattan
40.761559|-73.956696|29529|amenity|amenity|Manhattan Community Board 8|Manhattan
40.761562|-73.988182|29530|tourism|tourism|Hell's Kitchen|Manhattan
40.761562|-73.979195|29531|highway|road|Manhattan Community Board 5|Manhattan
40.761566|-73.997849|29532|place|place|Hell's Kitchen|Manhattan
40.761566|-73.997704|29533|place|place|Hell's Kitchen|Manhattan
40.761566|-73.982712|29534|tourism|tourism|Manhattan Community Board 5|Manhattan
40.761566|-73.979401|29535|highway|road|Theater District|Manhattan
40.761566|-73.96949|29536|amenity|amenity|Midtown East|Manhattan
40.76157|-73.999695|29537|building|building|Hell's Kitchen|Manhattan
40.761574|-73.990479|29538|shop|shop|Hell's Kitchen|Manhattan
40.761581|-73.988281|29539|tourism|tourism|Hell's Kitchen|Manhattan
